Review_ID,Product_Name,Review_Text,Label,Review_Date,Reviewer_Location,Review_Word_Count,Review_Char_Count,Sentiment_Polarity,Review_DayOfWeek,Reviewer_City,Reviewer_Country,Label_Encoded,Is_Duplicate_Review
43,Laptop Stand,So flawless it defies logic. So flawless it defies logic.,Fake,2025-01-30,"Tokyo, Japan",10,57,1.0,Thursday,Tokyo,Japan,0,True
44,Portable Charger,I'm really satisfied with my purchase. Absolutely love this product!,Genuine,2025-04-08,"Denver, USA",10,68,0.5625,Tuesday,Denver,USA,1,True
45,Smartphone Case,An unbelievable product that exceeds all standards. This product is perfect in every aspect.,Fake,2025-10-10,"Berlin, Germany",14,92,0.375,Friday,Berlin,Germany,0,True
46,Wireless Headphones,The quality is outstanding and the performance is reliable. I'm really satisfied with my purchase.,Genuine,2025-07-30,"San Francisco, USA",15,98,0.5,Wednesday,San Francisco,USA,1,True
47,Wireless Headphones,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-02-24,"London, UK",10,67,0.375,Monday,London,UK,1,True
48,Wireless Headphones,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-07-20,"Paris, France",12,80,0.375,Sunday,Paris,France,0,True
49,Portable Charger,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-11-25,"Chicago, USA",14,81,1.0,Tuesday,Chicago,USA,0,True
50,Bluetooth Speaker,I'm really satisfied with my purchase. Exceeded my expectations in every way.,Genuine,2025-10-16,"Seattle, USA",12,77,0.5,Thursday,Seattle,USA,1,True
51,Wireless Headphones,This product is perfect in every aspect. I can't believe how amazing it is.,Fake,2025-07-29,"Miami, USA",14,75,0.8,Tuesday,Miami,USA,0,True
52,Portable Charger,"Best purchase ever, you'll regret not buying it immediately! An unbelievable product that exceeds all standards.",Fake,2025-06-02,"London, UK",16,112,0.375,Monday,London,UK,0,True
53,Noise Cancelling Earbuds,Absolutely love this product! Works exactly as advertised.,Genuine,2025-10-19,"London, UK",8,58,0.4375,Sunday,London,UK,1,True
54,Smartphone Case,Works exactly as advertised. Works exactly as advertised.,Genuine,2025-06-14,"Seattle, USA",8,57,0.25,Saturday,Seattle,USA,1,True
55,Eco-friendly Water Bottle,This product is perfect in every aspect. So flawless it defies logic.,Fake,2025-07-15,"London, UK",12,69,1.0,Tuesday,London,UK,0,True
56,Laptop Stand,"I can't believe how amazing it is. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-12-18,"Miami, USA",16,95,0.8,Thursday,Miami,USA,0,True
57,Noise Cancelling Earbuds,The quality is outstanding and the performance is reliable. The quality is outstanding and the performance is reliable.,Genuine,2025-12-04,"Seattle, USA",18,119,0.5,Thursday,Seattle,USA,1,True
58,Eco-friendly Water Bottle,Works exactly as advertised. The quality is outstanding and the performance is reliable.,Genuine,2025-09-29,"Paris, France",13,88,0.375,Monday,Paris,France,1,True
59,Noise Cancelling Earbuds,Absolutely love this product! Absolutely love this product!,Genuine,2025-07-10,"Los Angeles, USA",8,59,0.625,Thursday,Los Angeles,USA,1,True
60,Wireless Headphones,An unbelievable product that exceeds all standards. An unbelievable product that exceeds all standards.,Fake,2025-10-31,"Austin, USA",14,103,-0.25,Friday,Austin,USA,0,True
61,Noise Cancelling Earbuds,Exceeded my expectations in every way. Exceeded my expectations in every way.,Genuine,2025-08-09,"Los Angeles, USA",12,77,0.0,Saturday,Los Angeles,USA,1,True
62,Smartwatch,This product is perfect in every aspect. An unbelievable product that exceeds all standards.,Fake,2025-09-14,"Los Angeles, USA",14,92,0.375,Sunday,Los Angeles,USA,0,True
63,Smartphone Case,"Best purchase ever, you'll regret not buying it immediately! This product is perfect in every aspect.",Fake,2025-03-30,"Paris, France",16,101,1.0,Sunday,Paris,France,0,True
64,Gaming Mouse,Exceeded my expectations in every way. Absolutely love this product!,Genuine,2025-12-07,"San Francisco, USA",10,68,0.625,Sunday,San Francisco,USA,1,True
65,Portable Charger,Works exactly as advertised. Exceeded my expectations in every way.,Genuine,2025-02-19,"Austin, USA",10,67,0.25,Wednesday,Austin,USA,1,True
66,Gaming Mouse,This product is perfect in every aspect. I can't believe how amazing it is.,Fake,2025-09-29,"London, UK",14,75,0.8,Monday,London,UK,0,True
67,Portable Charger,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-04-18,"Denver, USA",12,80,0.375,Friday,Denver,USA,0,True
68,Fitness Tracker,Absolutely love this product! I'm really satisfied with my purchase.,Genuine,2025-11-20,"Berlin, Germany",10,68,0.5625,Thursday,Berlin,Germany,1,True
69,Smartwatch,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-10-18,"Seattle, USA",10,67,0.375,Saturday,Seattle,USA,1,True
70,Gaming Mouse,"So flawless it defies logic. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-08-08,"Tokyo, Japan",14,89,1.0,Friday,Tokyo,Japan,0,True
71,Wireless Headphones,This product is perfect in every aspect. I can't believe how amazing it is.,Fake,2025-12-23,"Tokyo, Japan",14,75,0.8,Tuesday,Tokyo,Japan,0,True
72,Smartwatch,"Best purchase ever, you'll regret not buying it immediately! I can't believe how amazing it is.",Fake,2025-07-30,"Chicago, USA",16,95,0.8,Wednesday,Chicago,USA,0,True
73,Noise Cancelling Earbuds,"This product is perfect in every aspect. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-12-08,"Seattle, USA",16,101,1.0,Monday,Seattle,USA,0,True
74,Smartwatch,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-08-19,"Los Angeles, USA",13,89,0.5625,Tuesday,Los Angeles,USA,1,True
75,Bluetooth Speaker,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-03-18,"Chicago, USA",13,89,0.5625,Tuesday,Chicago,USA,1,True
76,Portable Charger,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-07-01,"Chicago, USA",13,89,0.5625,Tuesday,Chicago,USA,1,True
77,Gaming Mouse,Exceeded my expectations in every way. Exceeded my expectations in every way.,Genuine,2025-07-08,"Seattle, USA",12,77,0.0,Tuesday,Seattle,USA,1,True
78,Portable Charger,So flawless it defies logic. I can't believe how amazing it is.,Fake,2025-11-07,"Miami, USA",12,63,0.8,Friday,Miami,USA,0,True
79,Gaming Mouse,An unbelievable product that exceeds all standards. An unbelievable product that exceeds all standards.,Fake,2025-05-01,"Boston, USA",14,103,-0.25,Thursday,Boston,USA,0,True
80,Bluetooth Speaker,I'm really satisfied with my purchase. The quality is outstanding and the performance is reliable.,Genuine,2025-10-31,"Miami, USA",15,98,0.5,Friday,Miami,USA,1,True
81,Wireless Headphones,"So flawless it defies logic. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-08-22,"Denver, USA",14,89,1.0,Friday,Denver,USA,0,True
82,Smartwatch,An unbelievable product that exceeds all standards. This product is perfect in every aspect.,Fake,2025-03-22,"Tokyo, Japan",14,92,0.375,Saturday,Tokyo,Japan,0,True
83,Fitness Tracker,Works exactly as advertised. Exceeded my expectations in every way.,Genuine,2025-02-24,"Los Angeles, USA",10,67,0.25,Monday,Los Angeles,USA,1,True
84,Eco-friendly Water Bottle,I'm really satisfied with my purchase. Exceeded my expectations in every way.,Genuine,2025-03-15,"San Francisco, USA",12,77,0.5,Saturday,San Francisco,USA,1,True
85,Portable Charger,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-11-06,"San Francisco, USA",10,67,0.375,Thursday,San Francisco,USA,1,True
86,Gaming Mouse,Exceeded my expectations in every way. The quality is outstanding and the performance is reliable.,Genuine,2025-04-27,"Seattle, USA",15,98,0.5,Sunday,Seattle,USA,1,True
87,Gaming Mouse,The quality is outstanding and the performance is reliable. I'm really satisfied with my purchase.,Genuine,2025-10-24,"Austin, USA",15,98,0.5,Friday,Austin,USA,1,True
88,Smartphone Case,An unbelievable product that exceeds all standards. So flawless it defies logic.,Fake,2025-08-14,"Seattle, USA",12,80,0.375,Thursday,Seattle,USA,0,True
89,Smartphone Case,"Best purchase ever, you'll regret not buying it immediately! Best purchase ever, you'll regret not buying it immediately!",Fake,2025-01-30,"Miami, USA",18,121,1.0,Thursday,Miami,USA,0,True
90,Bluetooth Speaker,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-08-24,"Miami, USA",14,81,1.0,Sunday,Miami,USA,0,True
91,Smartphone Case,So flawless it defies logic. I can't believe how amazing it is.,Fake,2025-04-20,"Seattle, USA",12,63,0.8,Sunday,Seattle,USA,0,True
92,Bluetooth Speaker,Absolutely love this product! Works exactly as advertised.,Genuine,2025-03-23,"Los Angeles, USA",8,58,0.4375,Sunday,Los Angeles,USA,1,True
93,Fitness Tracker,"Best purchase ever, you'll regret not buying it immediately! This product is perfect in every aspect.",Fake,2025-03-18,"Tokyo, Japan",16,101,1.0,Tuesday,Tokyo,Japan,0,True
94,Gaming Mouse,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-10-29,"New York, USA",14,81,1.0,Wednesday,New York,USA,0,True
95,Gaming Mouse,So flawless it defies logic. This product is perfect in every aspect.,Fake,2025-07-08,"Berlin, Germany",12,69,1.0,Tuesday,Berlin,Germany,0,True
96,Bluetooth Speaker,So flawless it defies logic. This product is perfect in every aspect.,Fake,2025-09-18,"Austin, USA",12,69,1.0,Thursday,Austin,USA,0,True
97,Noise Cancelling Earbuds,"Best purchase ever, you'll regret not buying it immediately! So flawless it defies logic.",Fake,2025-07-01,"Miami, USA",14,89,1.0,Tuesday,Miami,USA,0,True
98,Gaming Mouse,Works exactly as advertised. I'm really satisfied with my purchase.,Genuine,2025-02-15,"Berlin, Germany",10,67,0.375,Saturday,Berlin,Germany,1,True
99,Smartphone Case,Absolutely love this product! Works exactly as advertised.,Genuine,2025-01-11,"Tokyo, Japan",8,58,0.4375,Saturday,Tokyo,Japan,1,True
100,Smartphone Case,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-01-09,"Chicago, USA",12,80,0.375,Thursday,Chicago,USA,0,True
101,Wireless Headphones,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-01-15,"London, UK",12,80,0.375,Wednesday,London,UK,0,True
102,Smartwatch,"Best purchase ever, you'll regret not buying it immediately! I can't believe how amazing it is.",Fake,2025-09-28,"New York, USA",16,95,0.8,Sunday,New York,USA,0,True
103,Smartphone Case,"Best purchase ever, you'll regret not buying it immediately! I can't believe how amazing it is.",Fake,2025-05-01,"Boston, USA",16,95,0.8,Thursday,Boston,USA,0,True
104,Smartwatch,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-08-14,"New York, USA",13,89,0.5625,Thursday,New York,USA,1,True
105,Fitness Tracker,I'm really satisfied with my purchase. Absolutely love this product!,Genuine,2025-05-03,"Austin, USA",10,68,0.5625,Saturday,Austin,USA,1,True
106,Smartphone Case,I can't believe how amazing it is. I can't believe how amazing it is.,Fake,2025-08-18,"Los Angeles, USA",14,69,0.6000000000000001,Monday,Los Angeles,USA,0,True
107,Bluetooth Speaker,So flawless it defies logic. So flawless it defies logic.,Fake,2025-08-06,"Chicago, USA",10,57,1.0,Wednesday,Chicago,USA,0,True
108,Laptop Stand,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-11-09,"London, UK",10,67,0.375,Sunday,London,UK,1,True
109,Wireless Headphones,So flawless it defies logic. So flawless it defies logic.,Fake,2025-03-03,"Seattle, USA",10,57,1.0,Monday,Seattle,USA,0,True
110,Smartwatch,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-07-09,"Paris, France",10,67,0.375,Wednesday,Paris,France,1,True
111,Smartwatch,An unbelievable product that exceeds all standards. I can't believe how amazing it is.,Fake,2025-03-28,"London, UK",14,86,0.17500000000000004,Friday,London,UK,0,True
112,Wireless Headphones,This product is perfect in every aspect. I can't believe how amazing it is.,Fake,2025-05-07,"San Francisco, USA",14,75,0.8,Wednesday,San Francisco,USA,0,True
113,Eco-friendly Water Bottle,Exceeded my expectations in every way. Absolutely love this product!,Genuine,2025-11-15,"Miami, USA",10,68,0.625,Saturday,Miami,USA,1,True
114,Eco-friendly Water Bottle,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-04-08,"Los Angeles, USA",14,81,1.0,Tuesday,Los Angeles,USA,0,True
115,Laptop Stand,Absolutely love this product! The quality is outstanding and the performance is reliable.,Genuine,2025-01-11,"Denver, USA",13,89,0.5625,Saturday,Denver,USA,1,True
116,Fitness Tracker,The quality is outstanding and the performance is reliable. Works exactly as advertised.,Genuine,2025-07-02,"Seattle, USA",13,88,0.375,Wednesday,Seattle,USA,1,True
117,Bluetooth Speaker,Absolutely love this product! Works exactly as advertised.,Genuine,2025-01-21,"Denver, USA",8,58,0.4375,Tuesday,Denver,USA,1,True
118,Bluetooth Speaker,An unbelievable product that exceeds all standards. I can't believe how amazing it is.,Fake,2025-10-18,"Austin, USA",14,86,0.17500000000000004,Saturday,Austin,USA,0,True
119,Fitness Tracker,Exceeded my expectations in every way. Absolutely love this product!,Genuine,2025-11-17,"New York, USA",10,68,0.625,Monday,New York,USA,1,True
120,Smartphone Case,Works exactly as advertised. Exceeded my expectations in every way.,Genuine,2025-08-15,"Seattle, USA",10,67,0.25,Friday,Seattle,USA,1,True
121,Smartphone Case,"I can't believe how amazing it is. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-11-22,"Los Angeles, USA",16,95,0.8,Saturday,Los Angeles,USA,0,True
122,Gaming Mouse,"I can't believe how amazing it is. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-03-14,"Denver, USA",16,95,0.8,Friday,Denver,USA,0,True
123,Eco-friendly Water Bottle,An unbelievable product that exceeds all standards. An unbelievable product that exceeds all standards.,Fake,2025-01-01,"Chicago, USA",14,103,-0.25,Wednesday,Chicago,USA,0,True
124,Eco-friendly Water Bottle,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-12-07,"Chicago, USA",12,80,0.375,Sunday,Chicago,USA,0,True
125,Noise Cancelling Earbuds,The quality is outstanding and the performance is reliable. Works exactly as advertised.,Genuine,2025-01-03,"Tokyo, Japan",13,88,0.375,Friday,Tokyo,Japan,1,True
126,Wireless Headphones,"An unbelievable product that exceeds all standards. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-06-24,"San Francisco, USA",16,112,0.375,Tuesday,San Francisco,USA,0,True
127,Smartphone Case,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-12-20,"Boston, USA",12,80,0.375,Saturday,Boston,USA,0,True
128,Laptop Stand,This product is perfect in every aspect. An unbelievable product that exceeds all standards.,Fake,2025-07-01,"San Francisco, USA",14,92,0.375,Tuesday,San Francisco,USA,0,True
129,Fitness Tracker,Absolutely love this product! Absolutely love this product!,Genuine,2025-11-24,"San Francisco, USA",8,59,0.625,Monday,San Francisco,USA,1,True
130,Fitness Tracker,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-09-17,"Tokyo, Japan",10,67,0.375,Wednesday,Tokyo,Japan,1,True
131,Eco-friendly Water Bottle,So flawless it defies logic. I can't believe how amazing it is.,Fake,2025-09-28,"London, UK",12,63,0.8,Sunday,London,UK,0,True
132,Bluetooth Speaker,An unbelievable product that exceeds all standards. An unbelievable product that exceeds all standards.,Fake,2025-11-11,"Tokyo, Japan",14,103,-0.25,Tuesday,Tokyo,Japan,0,True
133,Gaming Mouse,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-11-11,"Boston, USA",13,89,0.5625,Tuesday,Boston,USA,1,True
134,Laptop Stand,This product is perfect in every aspect. An unbelievable product that exceeds all standards.,Fake,2025-03-22,"Denver, USA",14,92,0.375,Saturday,Denver,USA,0,True
135,Portable Charger,"Best purchase ever, you'll regret not buying it immediately! Best purchase ever, you'll regret not buying it immediately!",Fake,2025-12-06,"Tokyo, Japan",18,121,1.0,Saturday,Tokyo,Japan,0,True
136,Noise Cancelling Earbuds,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-01-02,"Boston, USA",14,81,1.0,Thursday,Boston,USA,0,True
137,Noise Cancelling Earbuds,"Best purchase ever, you'll regret not buying it immediately! Best purchase ever, you'll regret not buying it immediately!",Fake,2025-02-26,"Paris, France",18,121,1.0,Wednesday,Paris,France,0,True
138,Eco-friendly Water Bottle,The quality is outstanding and the performance is reliable. I'm really satisfied with my purchase.,Genuine,2025-04-18,"Tokyo, Japan",15,98,0.5,Friday,Tokyo,Japan,1,True
139,Eco-friendly Water Bottle,This product is perfect in every aspect. I can't believe how amazing it is.,Fake,2025-06-11,"Tokyo, Japan",14,75,0.8,Wednesday,Tokyo,Japan,0,True
140,Fitness Tracker,The quality is outstanding and the performance is reliable. Works exactly as advertised.,Genuine,2025-06-21,"Boston, USA",13,88,0.375,Saturday,Boston,USA,1,True
141,Wireless Headphones,The quality is outstanding and the performance is reliable. The quality is outstanding and the performance is reliable.,Genuine,2025-05-03,"Miami, USA",18,119,0.5,Saturday,Miami,USA,1,True
142,Gaming Mouse,An unbelievable product that exceeds all standards. I can't believe how amazing it is.,Fake,2025-06-04,"Berlin, Germany",14,86,0.17500000000000004,Wednesday,Berlin,Germany,0,True
143,Portable Charger,Absolutely love this product! Exceeded my expectations in every way.,Genuine,2025-02-13,"Miami, USA",10,68,0.625,Thursday,Miami,USA,1,True
144,Bluetooth Speaker,Exceeded my expectations in every way. I'm really satisfied with my purchase.,Genuine,2025-11-06,"London, UK",12,77,0.5,Thursday,London,UK,1,True
145,Bluetooth Speaker,Works exactly as advertised. Exceeded my expectations in every way.,Genuine,2025-08-01,"San Francisco, USA",10,67,0.25,Friday,San Francisco,USA,1,True
146,Portable Charger,Exceeded my expectations in every way. Absolutely love this product!,Genuine,2025-04-22,"San Francisco, USA",10,68,0.625,Tuesday,San Francisco,USA,1,True
147,Bluetooth Speaker,I can't believe how amazing it is. An unbelievable product that exceeds all standards.,Fake,2025-05-28,"San Francisco, USA",14,86,0.17500000000000004,Wednesday,San Francisco,USA,0,True
148,Smartwatch,I can't believe how amazing it is. This product is perfect in every aspect.,Fake,2025-01-28,"New York, USA",14,75,0.8,Tuesday,New York,USA,0,True
149,Eco-friendly Water Bottle,Exceeded my expectations in every way. Absolutely love this product!,Genuine,2025-01-30,"Denver, USA",10,68,0.625,Thursday,Denver,USA,1,True
150,Bluetooth Speaker,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-04-18,"Chicago, USA",13,89,0.5625,Friday,Chicago,USA,1,True
151,Fitness Tracker,Works exactly as advertised. Exceeded my expectations in every way.,Genuine,2025-04-22,"San Francisco, USA",10,67,0.25,Tuesday,San Francisco,USA,1,True
152,Eco-friendly Water Bottle,An unbelievable product that exceeds all standards. I can't believe how amazing it is.,Fake,2025-03-02,"Boston, USA",14,86,0.17500000000000004,Sunday,Boston,USA,0,True
153,Gaming Mouse,"Best purchase ever, you'll regret not buying it immediately! I can't believe how amazing it is.",Fake,2025-07-16,"London, UK",16,95,0.8,Wednesday,London,UK,0,True
154,Wireless Headphones,Absolutely love this product! I'm really satisfied with my purchase.,Genuine,2025-08-17,"Paris, France",10,68,0.5625,Sunday,Paris,France,1,True
155,Smartphone Case,So flawless it defies logic. So flawless it defies logic.,Fake,2025-01-20,"San Francisco, USA",10,57,1.0,Monday,San Francisco,USA,0,True
156,Fitness Tracker,Works exactly as advertised. Exceeded my expectations in every way.,Genuine,2025-04-09,"San Francisco, USA",10,67,0.25,Wednesday,San Francisco,USA,1,True
157,Smartwatch,Works exactly as advertised. I'm really satisfied with my purchase.,Genuine,2025-07-18,"New York, USA",10,67,0.375,Friday,New York,USA,1,True
158,Smartphone Case,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-12-19,"New York, USA",10,67,0.375,Friday,New York,USA,1,True
159,Smartphone Case,This product is perfect in every aspect. I can't believe how amazing it is.,Fake,2025-09-19,"Tokyo, Japan",14,75,0.8,Friday,Tokyo,Japan,0,True
160,Laptop Stand,The quality is outstanding and the performance is reliable. I'm really satisfied with my purchase.,Genuine,2025-03-16,"Denver, USA",15,98,0.5,Sunday,Denver,USA,1,True
161,Eco-friendly Water Bottle,The quality is outstanding and the performance is reliable. I'm really satisfied with my purchase.,Genuine,2025-05-02,"Boston, USA",15,98,0.5,Friday,Boston,USA,1,True
162,Noise Cancelling Earbuds,Absolutely love this product! Exceeded my expectations in every way.,Genuine,2025-10-09,"New York, USA",10,68,0.625,Thursday,New York,USA,1,True
